Date	H (cm)	date	date from zero
37451.0896	6.1	14/07/2002 02:09	248.4097
37451.7299	5.1	14/07/2002 17:31	249.05
37451.7597	5.7	14/07/2002 18:14	249.0798
37453.0097	5.1	16/07/2002 00:14	250.3298
37453.2	5.5	16/07/2002 04:48	250.5201
37453.3097	7.4	16/07/2002 07:26	250.6298
37453.4194	8	16/07/2002 10:04	250.7395
37454.3299	6.5	17/07/2002 07:55	251.65
37454.3396	7.1	17/07/2002 08:09	251.6597
37454.7694	5.6	17/07/2002 18:28	252.0895
37455.6597	4.6	18/07/2002 15:50	252.9798
37455.7299	5.1	18/07/2002 17:31	253.05
37456	4.3	19/07/2002 00:00	253.3201
37456.6097	4.9	19/07/2002 14:38	253.9298
37456.6194	4.1	19/07/2002 14:52	253.9395
37457.5799	4.4	20/07/2002 13:55	254.9
37458.5896	3.5	21/07/2002 14:09	255.9097
37458.6299	2.9	21/07/2002 15:07	255.95
37458.6396	3.8	21/07/2002 15:21	255.9597
37458.7597	3.9	21/07/2002 18:14	256.0798
37458.7694	3.1	21/07/2002 18:28	256.0895
37460.5896	2.5	23/07/2002 14:09	257.9097
37460.6299	1.8	23/07/2002 15:07	257.95
37460.7299	2.4	23/07/2002 17:31	258.05
37461.4097	2.2	24/07/2002 09:50	258.7298
37461.5299	1.9	24/07/2002 12:43	258.85
37461.7	2.2	24/07/2002 16:48	259.0201
37462	1.3	25/07/2002 00:00	259.3201
37462.2194	2	25/07/2002 05:16	259.5395
37462.5799	1.3	25/07/2002 13:55	259.9
37462.6	1.8	25/07/2002 14:24	259.9201
37462.8	0.5	25/07/2002 19:12	260.1201
37462.9299	1.5	25/07/2002 22:19	260.25
37463.3597	2.1	26/07/2002 08:38	260.6798
37463.9299	1	26/07/2002 22:19	261.25
37464.4097	1.8	27/07/2002 09:50	261.7298
37464.6299	0.7	27/07/2002 15:07	261.95
37464.7299	1.8	27/07/2002 17:31	262.05
37465.5896	0.8	28/07/2002 14:09	262.9097
37465.6799	1.4	28/07/2002 16:19	263
