"Time [yyyy-MM-dd hh:mm:ss]","Q_maxpost [m3/s]","Q_param_low [[m3/s]","Q_param_high [m3/s]","Q_total_low [m3/s]","Q_total_high [m3/s]"
1902-07-12 07:00:00,27034.5,26216.6,27688.0,26036.4,27786.2
1902-07-13 07:00:00,26902.5,26024.8,27617.3,25898.3,27846.7
1902-07-14 07:00:00,26770.8,25991.7,27566.5,25783.8,27818.5
1902-07-15 07:00:00,26376.9,25555.8,27105.9,25344.9,27309.9
1902-07-16 07:00:00,26050.2,25145.8,26778.7,24935.8,27017.2
1902-07-17 07:00:00,25724.9,24939.8,26452.6,24631.7,26712.5
1902-07-18 07:00:00,25530.4,24698.3,26235.7,24658.7,26434.3
1902-07-19 07:00:00,25336.4,24436.0,26070.8,24354.9,26313.3
1902-07-20 07:00:00,25014.2,24197.8,25716.2,24000.8,25891.9
1902-07-21 07:00:00,24885.7,24058.3,25685.8,23981.8,25836.2
1902-07-22 07:00:00,24885.7,24039.6,25678.1,23833.2,25932.9
1902-07-23 07:00:00,24885.7,24016.7,25551.4,23848.9,25707.6
1902-07-24 07:00:00,24885.7,24004.7,25716.8,23848.2,25795.2
1902-07-25 07:00:00,24885.7,23967.4,25629.1,23861.5,25798.0
1902-07-26 07:00:00,24821.5,23904.7,25550.3,23806.2,25788.4
1902-07-27 07:00:00,24821.5,23979.4,25563.9,23784.6,25787.1
1902-07-28 07:00:00,24821.5,24000.4,25583.5,23845.3,25835.0
1902-07-29 07:00:00,24949.9,24101.1,25733.7,23982.8,25899.4
1902-07-30 07:00:00,25014.2,24074.3,25750.6,23821.3,25874.1
1902-07-31 07:00:00,25014.2,24231.0,25786.5,24032.6,25894.6
1902-08-01 07:00:00,25078.5,24163.8,25760.2,23916.5,25966.2
1902-08-02 07:00:00,25271.9,24543.5,26018.3,24331.3,26226.3
1902-08-03 07:00:00,25530.4,24651.2,26291.4,24549.5,26465.3
1902-08-04 07:00:00,26050.2,25144.3,26848.3,24930.2,27053.8
1902-08-05 07:00:00,26376.9,25488.5,27190.5,25335.7,27397.7
1902-08-06 07:00:00,26573.6,25837.4,27434.5,25793.9,27556.8
1902-08-07 07:00:00,26902.5,26124.4,27706.0,25971.0,27827.2
1902-08-08 07:00:00,27166.7,26319.5,27885.0,26146.1,28202.3
1902-08-09 07:00:00,27431.6,26465.0,28206.3,26282.8,28454.5
1902-08-10 07:00:00,27697.5,26854.0,28420.3,26720.8,28754.5
1902-08-11 07:00:00,27830.8,26927.4,28588.2,26765.5,28883.7
1902-08-12 07:00:00,27964.3,27121.4,28755.0,26914.4,29060.6
1902-08-13 07:00:00,28164.9,27303.4,28924.0,27048.2,29149.9
1902-08-14 07:00:00,28366.0,27557.5,29089.4,27285.5,29180.4
1902-08-15 07:00:00,28366.0,27560.0,29089.6,27342.7,29280.1
1902-08-16 07:00:00,28298.9,27521.3,29097.2,27302.1,29246.1
1902-08-17 07:00:00,28231.9,27419.7,28976.5,27149.2,29177.4
1902-08-18 07:00:00,28231.9,27323.6,28995.9,27137.6,29200.3
1902-08-19 07:00:00,28366.0,27500.7,29088.8,27323.5,29265.7
1902-08-20 07:00:00,28433.2,27560.8,29176.9,27312.2,29328.0
1902-08-21 07:00:00,28500.4,27754.7,29151.7,27595.5,29406.7
1902-08-22 07:00:00,28634.9,27793.2,29410.4,27566.7,29546.1
1902-08-23 07:00:00,28769.7,27874.0,29450.7,27829.1,29656.9
1902-08-24 07:00:00,29039.9,28166.2,29737.6,27837.6,29933.3
1902-08-25 07:00:00,29175.3,28320.3,29963.2,28102.2,30301.6
1902-08-26 07:00:00,29311.0,28430.2,30100.6,28282.8,30208.8
1902-08-27 07:00:00,29582.9,28715.6,30304.9,28478.4,30514.6
1902-08-28 07:00:00,29719.2,28865.7,30484.2,28692.5,30730.3
1902-08-29 07:00:00,29924.0,29028.8,30657.2,28764.8,30910.5
1902-08-30 07:00:00,29992.4,29159.4,30714.0,29038.7,31035.4
1902-08-31 07:00:00,29992.4,29137.6,30781.9,28940.7,30958.9
1902-09-01 07:00:00,30129.3,29343.0,30833.1,29092.3,31021.9
1902-09-02 07:00:00,30060.8,29137.0,30740.9,28929.0,30951.8
1902-09-03 07:00:00,30060.8,29068.4,30758.6,28885.2,31168.9
1902-09-04 07:00:00,29924.0,29090.3,30668.1,28954.1,30875.4
1902-09-05 07:00:00,29855.7,28890.1,30674.1,28718.7,30850.7
1902-09-06 07:00:00,29719.2,28818.6,30388.7,28673.3,30633.5
1902-09-07 07:00:00,29787.4,28948.3,30472.5,28727.0,30696.3
1902-09-08 07:00:00,29855.7,28948.2,30584.4,28706.2,30834.3
1902-09-09 07:00:00,29924.0,29073.6,30621.7,28843.4,30782.7
1902-09-10 07:00:00,29992.4,29126.5,30703.9,28913.7,31007.2
1902-09-11 07:00:00,30266.4,29479.0,31066.5,29204.7,31361.8
1902-09-12 07:00:00,30472.5,29634.7,31207.9,29419.8,31424.0
1902-09-13 07:00:00,30679.1,29911.5,31430.0,29701.5,31652.2
1902-09-14 07:00:00,30886.1,30038.3,31591.1,29783.0,31730.7
1902-09-15 07:00:00,31024.4,30046.6,31771.7,30038.3,31989.6
1902-09-16 07:00:00,31232.2,30331.5,31883.9,30229.7,32140.7
1902-09-17 07:00:00,31232.2,30352.6,32079.2,30150.1,32185.7
1902-09-18 07:00:00,31440.5,30579.7,32140.0,30287.6,32340.5
1902-09-19 07:00:00,31579.7,30677.5,32392.0,30518.8,32532.5
1902-09-20 07:00:00,31719.0,30790.6,32405.8,30555.2,32677.2
1902-09-21 07:00:00,31858.6,30904.1,32544.2,30661.0,32658.7
1902-09-22 07:00:00,32208.4,31351.6,32893.8,31247.3,33367.7
1902-09-23 07:00:00,32489.1,31547.0,33214.4,31468.8,33420.2
1902-09-24 07:00:00,32770.7,31911.3,33493.8,31644.2,33672.5
1902-09-25 07:00:00,32770.7,31894.1,33518.6,31639.3,33696.5
1902-09-26 07:00:00,33549.3,32651.7,34279.8,32436.2,34539.6
1902-09-27 07:00:00,33905.3,32956.4,34683.4,32799.4,34879.0
1902-09-28 07:00:00,34191.0,33210.2,35050.6,33109.4,35279.0
1902-09-29 07:00:00,34405.8,33461.9,35164.7,33093.3,35391.5
1902-09-30 07:00:00,34477.5,33628.0,35226.0,33411.1,35553.4
1902-10-01 07:00:00,34908.8,34015.5,35558.8,33795.3,35820.7
1902-10-02 07:00:00,35125.2,34199.0,35856.5,33941.4,36082.2
1902-10-03 07:00:00,35197.4,34260.3,35980.5,33896.7,36166.8
1902-10-04 07:00:00,35414.3,34475.5,36102.7,34203.2,36433.7
1902-10-05 07:00:00,35559.2,34636.8,36290.1,34435.0,36491.7
1902-10-06 07:00:00,35704.3,34808.1,36448.4,34538.9,36661.2
1902-10-07 07:00:00,35922.3,35156.9,36644.6,34846.8,36881.9
1902-10-08 07:00:00,36067.9,35108.0,36817.7,34890.5,37017.2
1902-10-09 07:00:00,36286.6,35402.4,37058.2,35133.0,37307.0
1902-10-10 07:00:00,36652.2,35681.5,37359.2,35444.7,37609.2
1902-10-11 07:00:00,36945.6,35993.9,37735.4,35681.9,37973.5
1902-10-12 07:00:00,37460.9,36511.8,38121.3,36397.8,38425.2
1902-10-13 07:00:00,37608.5,36711.6,38329.2,36484.3,38517.7
