"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2009-10-01T00:00:00.000Z,2009-10-05T23:59:59.000Z,"-0.44","16",20,10,0
2009-11-01T00:00:00.000Z,2009-11-28T23:59:59.000Z,"-0.31","16",20,10,0
2009-12-01T00:00:00.000Z,2009-12-21T06:12:00.000Z,"-0.30","16",20,10,0
2010-01-01T00:00:00.000Z,2010-01-31T23:59:59.000Z,"-0.25","16",20,10,0
2010-02-01T00:00:00.000Z,2010-02-04T18:50:00.000Z,"-0.26","16",20,10,0
2010-03-01T00:00:00.000Z,2010-03-19T23:59:59.000Z,"-0.21","16",20,10,0
2010-04-01T00:00:00.000Z,2010-04-30T23:59:59.000Z,"-0.24","16",20,10,0
2010-05-01T00:00:00.000Z,2010-05-03T21:58:00.000Z,"-0.26","16",20,10,0
2010-06-01T00:00:00.000Z,2010-06-30T21:19:00.000Z,"-0.33","16",20,10,0
2010-07-01T00:00:00.000Z,2010-07-28T19:15:00.000Z,"-0.42","16",20,10,0
2010-08-01T00:00:00.000Z,2010-08-29T23:59:59.000Z,"-0.45","16",20,10,0
2010-09-01T00:00:00.000Z,2010-09-20T06:15:00.000Z,"-0.46","16",20,10,0
2010-10-01T00:00:00.000Z,2010-10-02T08:30:00.000Z,"-0.44","16",20,10,0
2010-11-01T00:00:00.000Z,2010-11-14T04:15:00.000Z,"-0.19","16",20,10,0
2010-12-01T00:00:00.000Z,2010-12-05T05:21:00.000Z,"-0.20","16",20,10,0
2011-01-01T00:00:00.000Z,2011-01-31T23:00:00.000Z,"-0.28","16",20,10,0
2011-02-01T00:00:00.000Z,2011-02-13T21:35:00.000Z,"-0.33","16",20,10,0
2011-03-01T00:00:00.000Z,2011-03-12T10:00:00.000Z,"-0.31","16",20,10,0
2011-04-01T00:00:00.000Z,2011-04-30T22:30:00.000Z,"-0.34","16",20,10,0
2011-05-01T00:00:00.000Z,2011-05-30T22:35:00.000Z,"-0.43","16",20,10,0
2011-06-01T00:00:00.000Z,2011-06-29T20:21:00.000Z,"-0.48","16",20,10,0
2011-07-01T00:00:00.000Z,2011-07-10T07:02:00.000Z,"-0.48","16",20,10,0
2011-08-01T00:00:00.000Z,2011-08-23T22:30:00.000Z,"-0.51","16",20,10,0
